,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,China,"81,554",,"3,312",,"76,238","2,004",466,57,2
1,USA,"215,003","+26,473","5,102","+1,049","8,878","201,023","5,005",650,15
2,Italy,"110,574","+4,782","13,155",+727,"16,847","80,572","4,035","1,829",218
3,Spain,"104,118","+8,195","9,387",+923,"22,647","72,084","5,872","2,227",201
4,Germany,"77,981","+6,173",931,+156,"18,700","58,350","3,408",931,11
5,France,"56,989","+4,861","4,032",+509,"10,935","42,022","6,017",873,62
6,Iran,"47,593","+2,988","3,036",+138,"15,473","29,084","3,871",567,36
7,UK,"29,474","+4,324","2,352",+563,135,"26,987",163,434,35
8,Switzerland,"17,768","+1,163",488,+55,"2,967","14,313",348,"2,053",56
9,Turkey,"15,679","+2,148",277,+63,333,"15,069",847,186,3
10,Belgium,"13,964","+1,189",828,+123,"2,132","11,004","1,088","1,205",71
11,Netherlands,"13,614","+1,019","1,173",+134,250,"12,191","1,053",795,68
12,Austria,"10,711",+531,146,+18,"1,436","9,129",215,"1,189",16
13,S. Korea,"9,887",+101,165,+3,"5,567","4,155",55,193,3
14,Canada,"9,731","+1,119",114,+13,"1,736","7,881",120,258,3
15,Portugal,"8,251",+808,187,+27,43,"8,021",230,809,18
16,Brazil,"6,880","+1,163",242,+41,127,"6,511",296,32,1
17,Israel,"6,092",+734,26,+6,241,"5,825",95,704,3
18,Australia,"5,048",+285,23,+3,345,"4,680",50,198,0.9
19,Sweden,"4,947",+512,239,+59,103,"4,605",393,490,24
20,Norway,"4,877",+236,44,+5,13,"4,820",105,900,8
21,Czechia,"3,589",+281,39,+8,61,"3,489",70,335,4
22,Ireland,"3,447",+212,85,+14,5,"3,357",103,698,17
23,Denmark,"3,107",+247,104,+14,894,"2,109",145,536,18
24,Chile,"3,031",+293,16,+4,234,"2,781",31,159,0.8
25,Malaysia,"2,908",+142,45,+2,645,"2,218",102,90,1
