,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop"
0,World,"1,116,662","+101,566","59,174","+5,997","228,589","828,899","39,391",143,7.6,,
1,China,"81,639",+19,"3,326",+4,"76,755","1,558",331,57,2,,
2,USA,"277,161","+32,284","7,404","+1,328","12,283","257,474","5,787",837,22,"698,344","2,110"
3,Italy,"119,827","+4,585","14,681",+766,"19,758","85,388","4,068","1,982",243,"429,526","7,104"
4,Spain,"119,199","+7,134","11,198",+850,"30,513","77,488","6,416","2,549",240,"355,000","7,593"
5,Germany,"91,159","+6,365","1,275",+168,"24,575","65,309","3,936","1,088",15,"483,295","5,768"
6,France,"82,165","+23,060","6,507","+1,120","14,008","61,650","6,662","1,259",100,"101,046","1,548"
7,Iran,"53,183","+2,715","3,294",+134,"17,935","31,954","4,035",633,39,"80,000",952
8,UK,"38,168","+4,450","3,605",+684,135,"34,428",163,562,53,"173,784","2,560"
9,Turkey,"20,921","+2,786",425,+69,484,"20,012","1,251",248,5,"141,716","1,680"
10,Switzerland,"19,606",+779,591,+55,"4,846","14,169",348,"2,265",68,"111,000","12,826"
11,Belgium,"16,770","+1,422","1,143",+132,"2,872","12,755","1,205","1,447",99,"18,360","1,584"
12,Netherlands,"15,723","+1,026","1,487",+148,250,"13,986","1,324",918,87,"46,810","2,732"
13,Canada,"12,375","+1,092",208,+35,"2,186","9,981",120,328,6,"261,975","6,941"
14,Austria,"11,524",+395,168,+10,"2,022","9,334",245,"1,280",19,"98,343","10,919"
15,S. Korea,"10,062",+86,174,+5,"6,021","3,867",55,196,3,"421,547","8,222"
16,Portugal,"9,886",+852,246,+37,68,"9,572",245,970,24,"52,086","5,108"
17,Brazil,"9,194","+1,150",363,+39,127,"8,704",296,43,2,"45,708",215
18,Israel,"7,428",+571,40,+4,403,"6,985",113,858,5,"37,586","4,342"
19,Sweden,"6,131",+563,358,+50,205,"5,568",469,607,35,"24,500","2,426"
20,Australia,"5,454",+140,28,+3,585,"4,841",85,214,1,"275,000","10,784"
21,Norway,"5,370",+223,59,+9,32,"5,279",96,991,11,"98,587","18,185"
22,Ireland,"4,273",+424,120,+22,25,"4,128",148,865,24,"17,992","3,644"
23,Czechia,"4,190",+332,53,+9,72,"4,065",77,391,5,"67,281","6,283"
24,Russia,"4,149",+601,34,+4,281,"3,834",8,28,0.2,"575,000","3,940"
25,Denmark,"3,757",+371,139,+16,"1,193","2,425",153,649,24,"30,448","5,257"
26,Chile,"3,737",+333,22,+4,427,"3,288",31,195,1,"32,096","1,679"
27,Poland,"3,383",+437,71,+14,56,"3,256",50,89,2,"66,938","1,769"
28,Ecuador,"3,368",+205,145,+25,65,"3,158",100,191,8,"8,251",468
29,Malaysia,"3,333",+217,53,+3,827,"2,453",108,103,2,"47,723","1,474"
30,Romania,"3,183",+445,133,+18,283,"2,767",83,165,7,"31,657","1,646"
31,India,"3,059",+516,86,+14,192,"2,781",,2,0.06,"47,951",35
32,Philippines,"3,018",+385,136,+29,52,"2,830",1,28,1,"4,727",43
33,Japan,"2,935",+318,69,+6,514,"2,352",60,23,0.5,"32,497",257
34,Pakistan,"2,686",+265,40,+6,126,"2,520",10,12,0.2,"14,748",67
35,Luxembourg,"2,612",+125,31,+1,500,"2,081",33,"4,173",50,"21,463","34,287"
36,Saudi Arabia,"2,039",+154,25,+4,351,"1,663",41,59,0.7,,
37,Indonesia,"1,986",+196,181,+11,134,"1,671",,7,0.7,"6,396",23
38,Thailand,"1,978",+103,19,+4,612,"1,347",23,28,0.3,"17,829",255
39,Panama,"1,673",+198,41,+4,10,"1,622",50,388,10,"6,582","1,525"
40,Finland,"1,615",+97,20,+1,300,"1,295",72,291,4,"24,200","4,368"
41,Greece,"1,613",+69,63,+10,78,"1,472",92,155,6,,
42,Peru,"1,595",+181,61,+6,537,997,51,48,2,"16,518",501
43,Mexico,"1,510",+132,50,+13,633,827,1,12,0.4,"8,552",66
44,South Africa,"1,505",+43,9,+4,95,"1,401",7,25,0.2,"50,361",849
45,Dominican Republic,"1,488",+108,68,+8,16,"1,404",147,137,6,,
46,Serbia,"1,476",+305,39,+8,54,"1,383",81,169,4,"5,756",659
47,Iceland,"1,364",+45,4,,309,"1,051",12,"3,997",12,"20,930","61,335"
48,Argentina,"1,353",+88,42,+6,266,"1,045",,30,0.9,"6,277",139
49,Colombia,"1,267",+106,25,+6,55,"1,187",50,25,0.5,"21,129",415
50,UAE,"1,264",+240,9,+1,108,"1,147",2,128,0.9,"220,000","22,244"
51,Algeria,"1,171",+185,105,+19,62,"1,004",,27,2,"3,359",77
52,Singapore,"1,114",+65,5,+1,282,827,24,190,0.9,"39,000","6,666"
53,Croatia,"1,079",+68,8,+1,92,979,39,263,2,"6,404","1,560"
54,Qatar,"1,075",+126,3,,93,979,37,373,1,"28,413","9,862"
55,Ukraine,"1,072",+175,27,+5,22,"1,023",16,25,0.6,"3,178",73
56,Egypt,985,+120,66,+8,216,703,,10,0.6,,
57,Estonia,961,+103,12,+1,48,901,16,724,9,"18,290","13,788"
58,Slovenia,934,+37,20,+3,70,844,31,449,10,"25,921","12,468"
59,New Zealand,868,+71,1,,103,764,1,180,0.2,"23,481","4,869"
60,Hong Kong,845,+43,4,,173,668,8,113,0.5,,
61,Iraq,820,+48,54,,226,540,,20,1,,
62,Morocco,791,+83,48,+4,57,686,1,21,1,"3,910",106
63,Armenia,736,+73,7,,43,686,30,248,2,"3,258","1,099"
64,Diamond Princess,712,,11,,619,82,10,,,,
65,Lithuania,696,+47,9,,7,680,11,256,3,"18,432","6,771"
66,Bahrain,672,+29,4,,382,286,3,395,2,"37,996","22,330"
67,Hungary,623,+38,26,+5,43,554,17,64,3,"17,769","1,839"
68,Moldova,591,+86,8,+2,26,557,65,147,2,169,42
69,Bosnia and Herzegovina,579,+46,17,+1,27,535,4,176,5,"2,220",677
70,Cameroon,509,+203,8,+1,17,484,,19,0.3,,
71,Lebanon,508,+14,17,+1,50,441,26,74,2,"7,828","1,147"
72,Tunisia,495,+40,18,+4,5,472,26,42,2,"5,736",485
73,Latvia,493,+35,1,+1,1,491,3,261,0.5,"18,198","9,648"
74,Bulgaria,485,+28,14,+4,30,441,21,70,2,566,81
75,Kazakhstan,464,+29,3,,29,432,6,25,0.2,316,17
76,Slovakia,450,+24,1,,10,439,3,82,0.2,"11,742","2,151"
77,Azerbaijan,443,+43,5,,32,406,7,44,0.5,"35,000","3,452"
78,Andorra,439,+11,16,+1,16,407,12,"5,682",207,,
79,North Macedonia,430,+46,12,+1,20,398,8,206,6,"4,506","2,163"
80,Kuwait,417,+75,,,82,335,16,98,,,
81,Costa Rica,416,+20,2,,11,403,13,82,0.4,"3,498",687
82,Cyprus,396,+40,11,+1,28,357,11,328,9,"9,447","7,825"
83,Uruguay,386,+36,4,,86,296,13,111,1,"4,786","1,378"
84,Belarus,351,+47,4,,53,294,11,37,0.4,"32,000","3,386"
85,Taiwan,348,+9,5,,50,293,,15,0.2,"30,777","1,292"
86,Réunion,321,+13,,,40,281,3,359,,,
87,Jordan,310,+11,5,,58,247,5,30,0.5,239,23
88,Albania,304,+27,17,+1,89,198,7,106,6,"2,031",706
89,Burkina Faso,302,+14,16,,50,236,,14,0.8,,
90,Afghanistan,281,+8,6,,10,265,,7,0.2,,
91,Cuba,269,+36,6,,15,248,8,24,0.5,"3,342",295
92,Oman,252,+21,1,,57,194,3,49,0.2,,
93,San Marino,251,+6,32,+2,26,193,13,"7,397",943,586,"17,270"
94,Vietnam,239,+6,,,85,154,3,2,,"35,808",368
95,Channel Islands,232,+39,4,+1,13,215,,"1,334",23,,
96,Uzbekistan,227,+22,2,,25,200,8,7,0.06,,
97,Honduras,222,+3,15,+1,3,204,10,22,2,,
98,Ivory Coast,218,+24,1,,19,198,,8,0.04,,
99,Nigeria,210,+26,4,+2,25,181,,1,0.02,,
100,Senegal,207,+12,1,,66,140,1,12,0.06,195,12
101,Ghana,205,+1,5,,31,169,2,7,0.2,,
102,Malta,202,+6,,,2,200,2,457,,"9,043","20,480"
103,Palestine,194,+33,1,,21,172,,38,0.2,"7,553","1,481"
104,Mauritius,186,+17,7,,,179,1,146,6,,
105,Faeroe Islands,179,+2,,,91,88,1,"3,663",,"4,653","95,225"
106,Montenegro,174,+30,2,,1,171,4,277,3,"1,006","1,602"
107,Sri Lanka,159,+8,4,,24,131,5,7,0.2,,
108,Georgia,155,+21,,,28,127,6,39,,,
109,Venezuela,153,+7,7,+2,52,94,6,5,0.2,,
110,DRC,148,+14,16,+3,3,129,,2,0.2,,
111,Martinique,143,+5,3,,27,113,18,381,8,,
112,Brunei,134,+1,1,,65,68,3,306,2,"7,566","17,295"
113,Bolivia,132,+9,9,+1,1,122,3,11,0.8,191,16
114,Guadeloupe,130,+2,7,+1,24,99,14,325,17,,
115,Kyrgyzstan,130,+14,1,+1,6,123,5,20,0.2,"9,618","1,474"
116,Mayotte,128,+12,2,+1,10,116,3,469,7,479,"1,756"
117,Kenya,122,+12,4,+1,4,114,2,2,0.07,"2,201",41
118,Niger,120,+22,5,,,115,,5,0.2,"3,729",154
119,Isle of Man,114,+19,1,,,113,,"1,341",12,"1,230","14,465"
120,Cambodia,114,+4,,,35,79,1,7,,"5,768",345
121,Trinidad and Tobago,98,+4,6,+1,1,91,,70,4,705,504
122,Gibraltar,95,+7,,,46,49,,"2,820",,"1,136","33,718"
123,Paraguay,92,+15,3,,6,83,2,13,0.4,116,16
124,Rwanda,89,+5,,,,89,,7,,,
125,Liechtenstein,75,,,,,75,,"1,967",,900,"23,605"
126,Guinea,73,+21,,,2,71,,6,,,
127,Madagascar,70,+11,,,,70,6,3,,,
128,Monaco,64,+4,1,,3,60,2,"1,631",25,,
129,Aruba,62,+2,,,1,61,,581,,836,"7,830"
130,Bangladesh,61,+5,6,,26,29,1,0.4,0.04,"2,086",13
131,French Guiana,57,+6,,,22,35,1,191,,,
132,Jamaica,53,+6,3,,7,43,,18,1,292,99
133,Barbados,51,+5,,,,51,,177,,,
134,Guatemala,50,+3,1,,12,37,1,3,0.06,,
135,Djibouti,49,+9,,,8,41,,50,,,
136,Uganda,48,+3,,,,48,,1,,,
137,El Salvador,46,+5,3,+1,,43,4,7,0.5,,
138,Macao,42,+1,,,10,32,,65,,,
139,Togo,40,+1,3,+1,17,20,,5,0.4,,
140,Mali,39,+3,3,,,36,,2,0.1,,
141,Zambia,39,,1,,2,36,,2,0.05,619,34
142,French Polynesia,39,+2,,,,39,1,139,,554,"1,972"
143,Bermuda,35,,,,14,21,,562,,272,"4,368"
144,Ethiopia,35,+6,,,3,32,2,0.3,,"1,222",11
145,Cayman Islands,29,+1,1,,1,27,,441,15,265,"4,032"
146,Bahamas,24,,3,+2,,21,1,61,8,,
147,Guyana,23,+4,4,,,19,,29,5,83,106
148,Sint Maarten,23,+5,4,+3,6,13,,536,93,82,"1,912"
149,Congo,22,,2,,2,18,,4,0.4,,
150,Saint Martin,22,,1,,2,19,,569,26,18,466
151,Eritrea,22,,,,,22,,6,,,
152,Gabon,21,,1,,1,19,,9,0.4,,
153,Myanmar,20,,1,,,19,,0.4,0.02,,
154,Tanzania,20,,1,,3,16,,0.3,0.02,,
155,Maldives,19,,,,13,6,,35,,,
156,Haiti,18,+2,,,1,17,,2,,200,18
157,New Caledonia,18,,,,1,17,,63,,"1,390","4,869"
158,Libya,17,+6,1,,,16,,2,0.1,131,19
159,Syria,16,,2,,,14,,0.9,0.1,,
160,Benin,16,+3,,,2,14,,1,,,
161,Equatorial Guinea,16,+1,,,1,15,,11,,,
162,Antigua and Barbuda,15,+6,,,,15,1,153,,9,92
163,Guinea-Bissau,15,+6,,,,15,,8,,,
164,Dominica,14,+2,,,,14,,194,,,
165,Mongolia,14,,,,2,12,,4,,,
166,Namibia,14,,,,3,11,,6,,301,118
167,Saint Lucia,13,,,,1,12,,71,,,
168,Grenada,12,+2,,,,12,2,107,,45,400
169,Curaçao,11,,1,,3,7,,67,6,,
170,Sudan,10,+2,2,,2,6,,0.2,0.05,,
171,Suriname,10,,1,+1,,9,,17,2,,
172,Greenland,10,,,,3,7,,176,,542,"9,547"
173,Laos,10,,,,,10,,1,,437,60
174,Mozambique,10,,,,,10,,0.3,,,
175,Seychelles,10,,,,,10,,102,,,
176,MS Zaandam,9,,2,,,7,,,,,
177,Zimbabwe,9,,1,,,8,,0.6,0.07,316,21
178,Saint Kitts and Nevis,9,,,,,9,,169,,113,"2,124"
179,Eswatini,9,,,,,9,,8,,,
180,Angola,8,,2,,1,5,,0.2,0.06,,
181,CAR,8,+5,,,,8,,2,,,
182,Chad,8,,,,,8,,0.5,,,
183,Fiji,7,,,,,7,,8,,,
184,Vatican City,7,,,,,7,,"8,739",,,
185,Liberia,7,+1,,,,7,,1,,,
186,St. Vincent Grenadines,7,+5,,,1,6,,63,,,
187,Somalia,7,+2,,,1,6,,0.4,,,
188,Cabo Verde,6,,1,,,5,,11,2,,
189,Mauritania,6,,1,,2,3,,1,0.2,,
190,Nepal,6,,,,1,5,,0.2,,"1,184",41
191,Montserrat,6,+1,,,,6,,"1,202",,,
192,St. Barth,6,,,,1,5,,607,,,
193,Nicaragua,5,,1,,,4,,0.8,0.2,,
194,Bhutan,5,,,,2,3,,6,,,
195,Turks and Caicos,5,,,,,5,,129,,,
196,Botswana,4,,1,,,3,,2,0.4,175,74
197,Gambia,4,,1,,2,1,,2,0.4,,
198,Belize,4,+1,,,,4,,10,,25,63
199,Anguilla,3,,,,,3,,200,,,
200,British Virgin Islands,3,,,,,3,,99,,,
201,Burundi,3,,,,,3,,0.3,,2,0.2
202,Malawi,3,,,,,3,,0.2,,,
203,Caribbean Netherlands,2,,,,,2,,76,,10,381
204,Sierra Leone,2,,,,,2,,0.3,,2,0.3
205,Falkland Islands,1,+1,,,,1,,287,,,
206,Papua New Guinea,1,,,,,1,,0.1,,,
207,Timor-Leste,1,,,,,1,,0.8,,,
208,Total:,"1,116,662","+101,566","59,174","+5,997","228,589","828,899","39,391",143.3,7.6,,
