,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop"
43,Greece,"1,673",+60,68,+5,78,"1,527",92,161,7,"22,437","2,153"
44,Serbia,"1,624",+148,44,+5,54,"1,526",89,186,5,"6,401",733
45,South Africa,"1,585",+80,9,,95,"1,481",7,27,0.2,"53,937",909
46,Dominican Republic,"1,578",+90,77,+9,17,"1,484",147,145,7,"4,542",419
47,UAE,"1,505",+241,10,+1,125,"1,370",2,152,1,"220,000","22,244"
48,Argentina,"1,451",+98,43,+1,279,"1,129",,32,1.0,"8,488",188
49,Iceland,"1,417",+53,4,,396,"1,017",12,"4,152",12,"23,640","69,276"
50,Colombia,"1,406",+139,32,+7,85,"1,289",50,28,0.6,"23,706",466
51,Qatar,"1,325",+250,3,,109,"1,213",37,460,1,"31,951","11,090"
52,Algeria,"1,251",+80,130,+25,90,"1,031",,29,3,"3,359",77
53,Ukraine,"1,225",+153,32,+5,25,"1,168",16,28,0.7,"5,040",115
54,Singapore,"1,189",+75,6,+1,297,886,24,203,1,"39,000","6,666"
55,Croatia,"1,126",+47,12,+4,119,995,39,274,3,"9,833","2,395"
56,Egypt,"1,070",+85,71,+5,241,758,,10,0.7,"25,000",244
57,Estonia,"1,039",+78,13,+1,59,967,20,783,10,"19,091","14,392"
58,Slovenia,977,+43,22,+2,79,876,31,470,11,"27,109","13,040"
59,New Zealand,950,+82,1,,127,822,1,197,0.2,"33,116","6,867"
60,Morocco,919,+128,59,+11,66,794,1,25,2,"4,321",117
61,Iraq,878,+58,56,+2,259,563,,22,1,,
62,Hong Kong,862,+17,4,,173,685,8,115,0.5,"90,000","12,005"
63,Lithuania,771,+75,11,+2,7,753,11,283,4,"21,376","7,852"
64,Armenia,770,+34,7,,43,720,30,260,2,"3,994","1,348"
65,Moldova,752,+161,12,+4,29,711,65,186,3,681,169
66,Diamond Princess,712,,11,,619,82,10,,,,
67,Bahrain,688,+16,4,,423,261,3,404,2,"39,379","23,143"
68,Hungary,678,+55,32,+6,58,588,17,70,3,"19,424","2,011"
69,Bosnia and Herzegovina,624,+45,21,+4,30,573,4,190,6,"5,349","1,630"
70,Cameroon,555,+46,9,+1,17,529,,21,0.3,,
71,Tunisia,553,+58,18,,5,530,26,47,2,"6,485",549
72,Kazakhstan,531,+67,5,+2,36,490,6,28,0.3,316,17
73,Azerbaijan,521,+78,5,,32,484,17,51,0.5,"35,000","3,452"
74,Lebanon,520,+12,17,,54,449,27,76,2,"9,022","1,322"
75,Latvia,509,+16,1,,1,507,3,270,0.5,"19,380","10,275"
76,Bulgaria,503,+18,17,+3,34,452,26,72,2,566,81
77,North Macedonia,483,+53,17,+5,20,446,11,232,8,"4,920","2,362"
78,Kuwait,479,+62,1,+1,93,385,17,112,0.2,,
79,Slovakia,471,+21,1,,10,460,3,86,0.2,"13,631","2,497"
80,Andorra,466,+27,17,+1,21,428,12,"6,031",220,,
81,Belarus,440,+89,5,+1,53,382,11,47,0.5,"32,000","3,386"
82,Costa Rica,435,+19,2,,13,420,13,85,0.4,"4,654",914
83,Cyprus,426,+30,9,-2,33,384,11,353,7,"10,154","8,410"
84,Uruguay,400,+14,5,+1,93,302,13,115,1,"5,063","1,458"
85,Taiwan,355,+7,5,,50,300,,15,0.2,"36,304","1,524"
86,Réunion,334,+13,,,40,294,4,373,,,
87,Albania,333,+29,20,+3,99,214,7,116,7,"2,247",781
88,Jordan,323,+13,5,,74,244,5,32,0.5,239,23
89,Burkina Faso,318,+16,16,,66,236,,15,0.8,,
90,Afghanistan,309,+28,7,+1,10,292,,8,0.2,,
91,Cuba,288,+19,6,,15,267,11,25,0.5,"3,342",295
92,Oman,277,+25,2,+1,61,214,3,54,0.4,,
93,Uzbekistan,266,+39,2,,25,239,8,8,0.06,,
94,Honduras,264,+42,15,,3,246,10,27,2,,
95,Channel Islands,262,+30,5,+1,13,244,,"1,507",29,,
96,San Marino,259,+8,32,,27,200,14,"7,633",943,586,"17,270"
97,Ivory Coast,245,+27,1,,25,219,,9,0.04,,
98,Vietnam,240,+1,,,90,150,3,2,,"75,458",775
99,Senegal,219,+12,2,+1,72,145,1,13,0.1,195,12
100,Palestine,217,+23,1,,21,195,,43,0.2,"7,553","1,481"
101,Nigeria,214,+4,4,,25,185,2,1,0.02,"4,000",19
102,Malta,213,+11,,,2,211,3,482,,"9,703","21,975"
103,Ghana,205,,5,,31,169,2,7,0.2,,
104,Montenegro,201,+27,2,,1,198,4,320,3,"1,456","2,318"
105,Mauritius,196,+10,7,,7,182,1,154,6,,
106,Faeroe Islands,181,+2,,,93,88,2,"3,704",,"4,800","98,234"
107,Sri Lanka,166,+7,5,+1,27,134,5,8,0.2,,
108,Georgia,162,+7,1,+1,36,125,6,41,0.3,,
109,Venezuela,155,+2,7,,52,96,6,5,0.2,"1,779",63
110,DRC,154,+6,18,+2,3,133,,2,0.2,,
111,Martinique,145,+2,3,,27,115,22,386,8,,
112,Niger,144,+24,8,+3,,136,,6,0.3,"4,012",166
113,Kyrgyzstan,144,+14,1,,9,134,5,22,0.2,"9,618","1,474"
114,Bolivia,139,+7,10,+1,1,128,3,12,0.9,591,51
115,Brunei,135,+1,1,,66,68,3,309,2,"7,801","17,832"
116,Guadeloupe,134,+4,7,,24,103,14,335,17,,
117,Mayotte,134,+6,2,,14,118,3,491,7,479,"1,756"
118,Kenya,126,+4,4,,4,118,2,2,0.07,"2,201",41
119,Isle of Man,126,+12,1,,,125,,"1,482",12,"1,319","15,512"
120,Cambodia,114,,,,50,64,1,7,,"5,768",345
121,Guinea,111,+38,,,5,106,,8,,,
122,Trinidad and Tobago,103,+5,6,,1,96,,74,4,736,526
123,Rwanda,102,+13,,,,102,,8,,,
124,Gibraltar,98,+3,,,52,46,,"2,909",,"1,269","37,666"
125,Paraguay,96,+4,3,,12,81,2,13,0.4,"1,289",181
126,Liechtenstein,77,+2,1,+1,,76,,"2,020",26,900,"23,605"
127,Bangladesh,70,+9,8,+2,30,32,1,0.4,0.05,"2,086",13
128,Madagascar,70,,,,,70,6,3,,,
129,Monaco,66,+2,1,,3,62,2,"1,682",25,,
130,Aruba,64,+2,,,1,63,,599,,863,"8,083"
131,Guatemala,61,+11,2,+1,15,44,1,3,0.1,"1,134",63
132,French Guiana,61,+4,,,22,39,1,204,,,
133,El Salvador,56,+10,3,,2,51,4,9,0.5,,
134,Jamaica,53,,3,,7,43,,18,1,540,182
135,Barbados,52,+1,,,,52,,181,,382,"1,329"
136,Djibouti,50,+1,,,8,42,,51,,,
137,Uganda,48,,,,,48,,1,,"2,629",57
138,Macao,44,+2,,,10,34,,68,,,
139,Mali,41,+2,3,,1,37,,2,0.1,,
140,Togo,41,+1,3,,17,21,,5,0.4,,
141,French Polynesia,40,+1,,,,40,1,142,,583,"2,075"
142,Zambia,39,,1,,2,36,,2,0.05,619,34
143,Ethiopia,38,+3,,,4,34,1,0.3,,"1,222",11
144,Bermuda,37,+2,,,14,23,,594,,291,"4,673"
145,Cayman Islands,35,+6,1,,1,33,,533,15,319,"4,854"
146,Eritrea,29,+7,,,,29,,8,,,
147,Bahamas,28,+4,4,+1,,24,1,71,10,,
148,Saint Martin,24,+2,2,+1,5,17,6,621,52,18,466
149,Guyana,23,,4,,,19,,29,5,83,106
150,Sint Maarten,23,,4,,6,13,,536,93,82,"1,912"
151,Congo,22,,2,,2,18,,4,0.4,,
152,Gabon,21,,1,,1,19,,9,0.4,,
153,Myanmar,21,+1,1,,,20,,0.4,0.02,,
154,Tanzania,20,,1,,3,16,,0.3,0.02,,
155,Haiti,20,+2,,,1,19,,2,,200,18
156,Maldives,19,,,,13,6,,35,,,
157,Libya,18,+1,1,,,17,,3,0.1,131,19
158,Guinea-Bissau,18,+3,,,,18,,9,,,
159,New Caledonia,17,,,,1,16,,60,,"1,390","4,869"
160,Syria,16,,2,,2,12,,0.9,0.1,,
161,Benin,16,,,,2,14,,1,,,
162,Equatorial Guinea,16,,,,1,15,,11,,,
163,Antigua and Barbuda,15,,,,,15,1,153,,40,408
164,Dominica,14,,,,,14,,194,,255,"3,542"
165,Mongolia,14,,,,2,12,,4,,,
166,Namibia,14,,,,3,11,,6,,301,118
167,Saint Lucia,14,+1,,,1,13,,76,,,
168,Fiji,12,+5,,,,12,,13,,,
169,Grenada,12,,,,,12,2,107,,45,400
170,Curaçao,11,,1,,5,5,,67,6,,
171,Greenland,11,+1,,,3,8,,194,,542,"9,547"
172,Angola,10,+2,2,,2,6,,0.3,0.06,,
173,Sudan,10,,2,,2,6,,0.2,0.05,,
174,Liberia,10,+3,1,+1,3,6,,2,0.2,,
175,Suriname,10,,1,,,9,,17,2,,
176,Laos,10,,,,,10,,1,,437,60
177,Mozambique,10,,,,1,9,,0.3,,338,11
178,Seychelles,10,,,,,10,,102,,,
179,MS Zaandam,9,,2,,,7,,,,,
180,Zimbabwe,9,,1,,,8,,0.6,0.07,316,21
181,Nepal,9,+3,,,1,8,,0.3,,"1,521",52
182,Chad,9,+1,,,,9,,0.5,,,
183,Saint Kitts and Nevis,9,,,,,9,,169,,113,"2,124"
184,Eswatini,9,,,,,9,,8,,,
185,CAR,8,,,,,8,,2,,,
186,Cabo Verde,7,+1,1,,,6,,13,2,,
187,Vatican City,7,,,,,7,,"8,739",,,
188,St. Vincent Grenadines,7,,,,1,6,,63,,,
189,Somalia,7,,,,1,6,,0.4,,,
190,Mauritania,6,,1,,2,3,,1,0.2,67,14
191,Montserrat,6,,,,,6,,"1,202",,,
192,St. Barth,6,,,,1,5,,607,,,
193,Nicaragua,5,,1,,,4,,0.8,0.2,,
194,Bhutan,5,,,,2,3,,6,,,
195,Turks and Caicos,5,,,,,5,,129,,,
196,Botswana,4,,1,,,3,,2,0.4,175,74
197,Gambia,4,,1,,2,1,,2,0.4,,
198,Belize,4,,,,,4,,10,,25,63
199,Malawi,4,+1,,,,4,,0.2,,,
200,Sierra Leone,4,+2,,,,4,,0.5,,2,0.3
201,Western Sahara,4,+4,,,,4,,7,,,
202,Anguilla,3,,,,,3,,200,,,
203,British Virgin Islands,3,,,,,3,,99,,,
204,Burundi,3,,,,,3,,0.3,,2,0.2
205,Caribbean Netherlands,2,,,,,2,,76,,10,381
206,Falkland Islands,1,,,,,1,,287,,,
207,Papua New Guinea,1,,,,,1,,0.1,,72,8
208,Timor-Leste,1,,,,,1,,0.8,,,
209,Total:,"1,201,453","+84,811","64,688","+5,801","246,258","890,507","42,324",154.1,8.3,,
