,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
58,Hong Kong,802,+36,4,,154,644,8,107,0.5
59,New Zealand,797,+89,1,,92,704,2,165,0.2
60,Iraq,772,+44,54,+2,202,516,,19,1
61,Diamond Princess,712,,11,,619,82,10,,
62,Morocco,708,+54,44,+5,31,633,1,19,1
63,Armenia,663,+92,7,+3,33,623,30,224,2
64,Lithuania,649,+68,9,+1,7,633,11,238,3
65,Bahrain,643,+74,4,,381,258,3,378,2
66,Hungary,585,+60,21,+1,42,522,17,61,2
67,Bosnia and Herzegovina,533,+74,16,+3,20,497,4,162,5
68,Moldova,505,+82,6,+1,23,476,65,125,1
69,Lebanon,494,+15,16,+2,46,432,3,72,2
70,Latvia,458,+12,,,31,427,3,243,
71,Bulgaria,457,+35,10,,25,422,18,66,1
72,Tunisia,455,+32,14,+2,5,436,10,38,1
73,Kazakhstan,435,+55,3,,27,405,6,23,0.2
74,Andorra,428,+38,15,+1,10,403,12,"5,539",194
75,Slovakia,426,+26,1,,5,420,3,78,0.2
76,Azerbaijan,400,+41,5,,26,369,7,39,0.5
77,Costa Rica,396,+21,2,,6,388,11,78,0.4
78,North Macedonia,384,+30,11,,17,356,4,184,5
79,Cyprus,356,+36,10,+1,28,318,11,295,8
80,Uruguay,350,,4,+2,62,284,15,101,1
81,Kuwait,342,+25,,,81,261,15,80,
82,Taiwan,339,+10,5,,50,284,,14,0.2
83,Réunion,308,+27,,,40,268,3,344,
84,Cameroon,306,+73,7,+1,10,289,,12,0.3
85,Belarus,304,+141,4,+2,53,247,11,32,0.4
86,Jordan,299,+21,5,,45,249,5,29,0.5
87,Burkina Faso,288,+6,16,,50,222,,14,0.8
88,Albania,277,+18,16,+1,76,185,7,96,6
89,Afghanistan,273,+36,6,+2,10,257,,7,0.2
90,San Marino,245,+9,30,+2,21,194,15,"7,221",884
91,Cuba,233,+21,6,,13,214,7,21,0.5
92,Vietnam,233,+15,,,75,158,3,2,
93,Oman,231,+21,1,,57,173,3,45,0.2
94,Honduras,219,+47,14,+4,3,202,4,22,1
95,Uzbekistan,205,+24,2,,25,178,8,6,0.06
96,Ghana,204,+9,5,,31,168,2,7,0.2
97,Malta,196,+8,,,2,194,2,444,
98,Senegal,195,+5,1,,55,139,,12,0.06
99,Ivory Coast,194,+4,1,,15,178,,7,0.04
100,Channel Islands,193,+21,3,,,190,,"1,110",17
101,Nigeria,184,+10,2,,20,162,,0.9,0.01
102,Faeroe Islands,177,+4,,,81,96,1,"3,622",
103,Mauritius,169,+8,7,+1,,162,1,133,6
104,Palestine,161,+27,1,,18,142,,32,0.2
105,Sri Lanka,151,+5,4,+1,21,126,5,7,0.2
106,Venezuela,146,+2,5,+2,43,98,6,5,0.2
107,Montenegro,144,+21,2,,,142,4,229,3
108,Martinique,138,+3,3,,27,108,19,368,8
109,DRC,134,+25,13,+4,3,118,,1,0.1
110,Georgia,134,+17,,,26,108,6,34,
111,Brunei,133,+2,1,,56,76,3,304,2
112,Guadeloupe,128,+3,6,,24,98,14,320,15
113,Bolivia,123,+8,8,+1,1,114,3,11,0.7
114,Mayotte,116,+15,1,,10,105,3,425,4
115,Kyrgyzstan,116,+5,,,5,111,5,18,
116,Kenya,110,+29,3,+2,4,103,2,2,0.06
117,Cambodia,110,+1,,,34,76,1,7,
118,Niger,98,+24,5,,,93,,4,0.2
119,Isle of Man,95,+27,1,,,94,,"1,117",12
120,Trinidad and Tobago,94,+4,5,,1,88,,67,4
121,Gibraltar,88,+7,,,46,42,,"2,612",
122,Rwanda,84,+2,,,,84,,6,
123,Paraguay,77,+8,3,,2,72,4,11,0.4
124,Liechtenstein,75,+3,,,,75,,"1,967",
125,Monaco,60,+5,1,,2,57,2,"1,529",25
126,Aruba,60,+5,,,1,59,,562,
127,Madagascar,59,+2,,,,59,6,2,
128,Bangladesh,56,+2,6,,25,25,1,0.3,0.04
129,Guinea,52,+22,,,,52,,4,
130,French Guiana,51,,,,15,36,,171,
131,Jamaica,47,+3,3,,2,42,,16,1
132,Guatemala,47,+8,1,,12,34,1,3,0.06
133,Barbados,46,+1,,,,46,,160,
134,Uganda,45,+1,,,,45,,1.0,
135,El Salvador,41,+8,2,,,39,4,6,0.3
136,Macao,41,,,,10,31,,63,
137,Djibouti,40,+7,,,,40,,40,
138,Togo,39,+3,2,,17,20,,5,0.2
139,Zambia,39,+3,1,+1,,38,,2,0.05
140,French Polynesia,37,,,,,37,1,132,
141,Mali,36,+5,3,,,33,,2,0.1
142,Bermuda,35,+3,,,11,24,,562,
143,Ethiopia,29,,,,3,26,2,0.3,
144,Cayman Islands,28,+6,1,,,27,,426,15
145,Bahamas,24,+3,1,,1,22,,61,3
146,Congo,22,,2,,2,18,,4,0.4
147,Saint Martin,22,,1,,2,19,,569,26
148,Eritrea,22,+7,,,,22,,6,
149,Gabon,21,+3,1,,,20,,9,0.4
150,Myanmar,20,+4,1,,,19,,0.4,0.02
151,Tanzania,20,,1,,2,17,,0.3,0.02
152,Guyana,19,,4,+1,,15,,24,5
153,Maldives,19,,,,13,6,,35,
154,Sint Maarten,18,+2,1,,6,11,,420,23
155,New Caledonia,18,+2,,,1,17,,63,
156,Syria,16,+6,2,,,14,,0.9,0.1
157,Haiti,16,,,,1,15,,1,
158,Equatorial Guinea,15,,,,1,14,,11,
159,Mongolia,14,,,,2,12,,4,
160,Namibia,14,,,,3,11,,6,
161,Benin,13,,,,1,12,,1,
162,Saint Lucia,13,,,,1,12,,71,
163,Dominica,12,,,,,12,,167,
164,Curaçao,11,,1,,3,7,,67,6
165,Libya,11,+1,1,+1,,10,,2,0.1
166,Greenland,10,,,,2,8,,176,
167,Grenada,10,+1,,,,10,,89,
168,Laos,10,,,,,10,,1,
169,Mozambique,10,,,,,10,,0.3,
170,Seychelles,10,,,,,10,,102,
171,Suriname,10,,,,,10,,17,
172,MS Zaandam,9,,2,,,7,,,
173,Zimbabwe,9,+1,1,,,8,,0.6,0.07
174,Antigua and Barbuda,9,+2,,,,9,,92,
175,Guinea-Bissau,9,,,,,9,,5,
176,Saint Kitts and Nevis,9,+1,,,,9,,169,
177,Eswatini,9,,,,,9,,8,
178,Angola,8,,2,,1,5,,0.2,0.06
179,Sudan,8,+1,2,,2,4,,0.2,0.05
180,Chad,8,+1,,,,8,,0.5,
181,Fiji,7,+2,,,,7,,8,
182,Vatican City,7,+1,,,,7,,"8,739",
183,Cabo Verde,6,,1,,,5,,11,2
184,Mauritania,6,,1,,2,3,,1,0.2
185,Nepal,6,+1,,,1,5,,0.2,
186,Liberia,6,,,,,6,,1,
187,St. Barth,6,,,,1,5,,607,
188,Nicaragua,5,,1,,,4,,0.8,0.2
189,Bhutan,5,+1,,,1,4,,6,
190,Montserrat,5,,,,,5,,"1,002",
191,Somalia,5,,,,1,4,,0.3,
192,Turks and Caicos,5,,,,,5,,129,
193,Botswana,4,,1,,,3,,2,0.4
194,Gambia,4,,1,,2,1,,2,0.4
195,Anguilla,3,+1,,,,3,,200,
196,Belize,3,,,,,3,,8,
197,British Virgin Islands,3,,,,,3,,99,
198,Burundi,3,+1,,,,3,,0.3,
199,CAR,3,,,,,3,,0.6,
200,Malawi,3,+3,,,,3,,0.2,
201,Caribbean Netherlands,2,,,,,2,,76,
202,St. Vincent Grenadines,2,,,,1,1,,18,
203,Sierra Leone,2,,,,,2,,0.3,
204,Papua New Guinea,1,,,,,1,,0.1,
205,Timor-Leste,1,,,,,1,,0.8,
206,Total:,"1,015,065","+79,834","53,168","+5,970","212,018","749,879","37,698",130.2,6.8
